[08-Jun-2016 10:46:02 Europe/Paris] PHP Notice:  Undefined variable: photo_id in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/gallerie.php on line 38
[08-Jun-2016 10:46:12 Europe/Paris] PHP Notice:  Undefined variable: photo_id in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/gallerie.php on line 38
[08-Jun-2016 10:47:23 Europe/Paris] PHP Notice:  Undefined variable: photo_id in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/gallerie.php on line 38
[08-Jun-2016 09:38:24 UTC] PHP Warning:  Missing argument 1 for USER::__construct(), called in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/logout.php on line 4 and defined in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/class.user.php on line 14
[08-Jun-2016 09:38:24 UTC] PHP Notice:  Undefined variable: DB_con in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/class.user.php on line 16
[08-Jun-2016 12:05:23 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 12:05:30 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 12:05:38 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 12:08:36 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 12:08:39 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 12:51:35 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 12:51:37 UTC] PHP Warning:  Missing argument 1 for USER::__construct(), called in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/logout.php on line 4 and defined in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/class.user.php on line 14
[08-Jun-2016 12:51:37 UTC] PHP Notice:  Undefined variable: DB_con in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/class.user.php on line 16
[08-Jun-2016 15:10:05 Europe/Paris] PHP Notice:  Undefined variable: fname in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/sign-up.php on line 75
[08-Jun-2016 15:10:05 Europe/Paris] PHP Notice:  Undefined variable: lname in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/sign-up.php on line 75
[08-Jun-2016 15:11:52 Europe/Paris] PHP Notice:  Undefined variable: fname in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/sign-up.php on line 75
[08-Jun-2016 15:11:52 Europe/Paris] PHP Notice:  Undefined variable: lname in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/sign-up.php on line 75
[08-Jun-2016 15:12:00 Europe/Paris] PHP Notice:  Undefined variable: error in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/index.php on line 34
[08-Jun-2016 13:12:08 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:14:29 UTC] PHP Warning:  Missing argument 1 for USER::__construct(), called in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/logout.php on line 4 and defined in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/class.user.php on line 14
[08-Jun-2016 13:14:29 UTC] PHP Notice:  Undefined variable: DB_con in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/class.user.php on line 16
[08-Jun-2016 15:19:19 Europe/Paris] PHP Notice:  Undefined variable: fname in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/sign-up.php on line 75
[08-Jun-2016 15:19:19 Europe/Paris] PHP Notice:  Undefined variable: lname in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/sign-up.php on line 75
[08-Jun-2016 13:33:02 UTC] PHP Notice:  Undefined variable: cle in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/validate.php on line 13
[08-Jun-2016 13:33:02 UTC] PHP Notice:  Undefined variable: cle in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/validate.php on line 24
[08-Jun-2016 13:34:12 UTC] PHP Notice:  Undefined variable: cle in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/validate.php on line 13
[08-Jun-2016 13:34:12 UTC] PHP Notice:  Undefined variable: cle in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/validate.php on line 24
[08-Jun-2016 15:38:14 Europe/Paris] PHP Notice:  Undefined variable: cle in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/validate.php on line 15
[08-Jun-2016 15:38:14 Europe/Paris] PHP Notice:  Undefined variable: cle in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/validate.php on line 26
[08-Jun-2016 13:47:55 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 13:48:37 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:48:48 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 13:48:56 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:49:00 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 13:49:16 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:49:21 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 13:49:29 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:49:57 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 13:49:59 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:50:04 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 13:50:07 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:51:42 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 13:51:50 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:52:05 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:52:08 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:52:18 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 13:52:22 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:52:24 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:52:25 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:52:25 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:52:27 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:52:29 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/config/dbconfig.php on line 3
[08-Jun-2016 13:52:42 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
[08-Jun-2016 13:53:18 UTC] PHP Notice:  Undefined index: user_session in /nfs/2014/a/aliandie/http/MyWebSite/Camagru/home.php on line 19
